station,distance,services_per_day,n_of_disruptions
AC,78,0,131
AH,4,0,0
AHP,5,0,257
AHPR,7,0,259
AHZ,12,0,257
AKL,81,0,318
AKM,157,0,400
ALM,94,0,293
ALMB,100,0,424
ALMM,93,0,292
ALMO,102,0,424
ALMP,96,0,424
AMF,47,0,40
AMFS,50,0,280
AML,88,0,326
AMPO,91,0,292
AMR,131,0,566
AMRI,90,0,396
AMRN,132,0,641
ANA,161,0,652
APD,51,0,260
APDM,50,0,261
APDO,54,0,295
APG,220,0,430
APN,89,0,105
ARN,198,0,744
ASA,87,0,95
ASB,83,0,95
ASD,92,0,281
ASDL,99,0,560
ASDM,88,0,299
ASDZ,89,0,98
ASHD,84,0,109
ASN,158,0,350
ASS,96,0,539
ASSP,87,0,299
ATN,56,0,294
AVAT,53,0,286
BD,109,0,385
BDE,148,0,459
BDG,81,0,96
BDM,201,0,419
BDPB,114,0,708
BET,88,0,415
BF,205,0,419
BGN,146,0,713
BHDV,92,0,338
BHV,59,0,284
BK,141,0,459
BKF,150,0,624
BKG,149,0,620
BKL,66,0,98
BL,142,0,355
BLL,114,0,576
BMN,26,0,260
BMR,48,0,292
BN,83,0,327
BNC,28,0,23
BNK,46,0,54
BNN,31,0,39
BNZ,26,0,23
BP,199,0,367
BR,83,0,321
BRD,118,0,468
BRN,56,0,280
BSD,67,0,317
BSK,95,0,186
BSKS,96,0,209
BSMZ,68,0,281
BTL,78,0,372
BV,121,0,599
BZL,178,0,744
CAS,119,0,563
CK,38,0,289
CL,68,0,317
CO,128,0,413
CPS,99,0,180
CVM,158,0,476
DA,99,0,396
DB,42,0,22
DDN,73,0,275
DDR,109,0,351
DDRS,106,0,349
DDZD,110,0,468
DEI,179,0,367
DID,23,0,257
DL,92,0,350
DLD,56,0,280
DLN,132,0,427
DMN,85,0,298
DMNZ,85,0,298
DN,111,0,373
DR,20,0,257
DRH,119,0,595
DRON,112,0,350
DRP,186,0,381
DT,123,0,195
DTC,34,0,277
DTCH,32,0,277
DTCP,123,0,250
DV,49,0,260
DVC,53,0,326
DVD,85,0,95
DVN,13,0,259
DVNK,107,0,203
DWE,192,0,367
DZ,224,0,448
DZW,223,0,448
EC,121,0,456
ED,13,0,0
EDC,15,0,22
EDN,163,0,460
EEM,231,0,447
EGH,157,0,475
EGHM,158,0,475
EHS,97,0,491
EHV,98,0,372
EKZ,153,0,632
EML,70,0,283
EMN,148,0,428
EMNZ,144,0,427
ES,86,0,327
ESE,92,0,356
ESK,82,0,327
EST,15,0,257
ETN,120,0,708
FN,192,0,367
FWD,189,0,367
GBG,121,0,413
GBR,95,0,356
GD,86,0,95
GDG,83,0,95
GDM,60,0,274
GDR,39,0,294
GERP,184,0,403
GK,205,0,418
GLN,137,0,458
GN,186,0,403
GND,95,0,338
GNN,190,0,418
GO,63,0,267
GP,104,0,434
GR,86,0,336
GS,183,0,744
GV,115,0,180
GVC,114,0,180
GVM,115,0,288
GVMW,116,0,195
GW,162,0,357
GZ,99,0,387
HAD,115,0,576
HB,148,0,489
HBZM,98,0,348
HD,74,0,283
HDB,115,0,400
HDE,95,0,280
HDG,185,0,367
HDR,173,0,661
HDRZ,172,0,661
HFD,105,0,159
HGL,78,0,308
HGLG,76,0,308
HGLO,80,0,327
HGV,128,0,350
HGZ,197,0,426
HIL,122,0,203
HK,118,0,599
HKS,145,0,616
HLG,201,0,368
HLGH,202,0,372
HLM,111,0,539
HLMS,110,0,560
HLO,126,0,566
HM,111,0,434
HMBH,112,0,438
HMBV,108,0,434
HMH,110,0,434
HMN,29,0,271
HN,135,0,560
HNK,136,0,616
HNO,92,0,350
HNP,217,0,370
HON,68,0,326
HOR,66,0,95
HR,146,0,350
HRL,152,0,458
HRLW,154,0,475
HRN,180,0,403
HRT,93,0,373
HT,66,0,299
HTN,60,0,98
HTNC,61,0,126
HTO,65,0,299
HVL,41,0,40
HVS,63,0,280
HVSM,64,0,281
HVSP,64,0,281
HWD,138,0,642
HWZB,103,0,560
HZE,109,0,440
IJT,200,0,368
KBD,165,0,744
KBK,42,0,260
KLP,20,0,22
KMA,110,0,573
KMR,160,0,475
KMW,222,0,375
KPN,95,0,350
KPNZ,95,0,350
KRD,160,0,486
KRG,172,0,744
KTR,36,0,271
KW,194,0,424
KZ,104,0,563
LAA,115,0,209
LC,50,0,260
LDL,103,0,186
LDM,74,0,318
LEDN,104,0,193
LEER,255,0,442
LG,155,0,475
LLS,118,0,424
LLZM,99,0,180
LP,212,0,430
LTN,21,0,23
LTV,68,0,262
LUT,137,0,458
LW,175,0,350
LWC,178,0,367
MAS,61,0,95
MDB,202,0,744
MES,160,0,460
MG,185,0,367
MMLH,33,0,278
MP,108,0,350
MRB,107,0,397
MRN,50,0,54
MT,154,0,458
MTH,195,0,426
MTN,157,0,460
MTR,155,0,460
MZ,119,0,445
NDB,69,0,281
NH,145,0,489
NKK,58,0,280
NM,23,0,257
NMD,28,0,278
NMGO,26,0,278
NMH,26,0,278
NML,22,0,271
NS,86,0,280
NSCH,230,0,433
NVD,91,0,333
NVP,110,0,287
NWK,95,0,180
O,47,0,278
OBD,144,0,652
ODB,140,0,713
ODZ,89,0,327
OMN,103,0,357
OP,32,0,271
OST,59,0,326
OT,87,0,415
OVN,113,0,576
OW,48,0,299
PMO,117,0,561
PMR,116,0,560
PMW,115,0,563
PT,65,0,283
RAI,88,0,98
RAT,98,0,350
RB,162,0,744
RD,224,0,434
RH,14,0,260
RHN,73,0,57
RL,55,0,262
RLB,117,0,259
RM,108,0,407
RS,59,0,299
RSD,133,0,708
RSN,75,0,326
RSW,118,0,195
RTA,100,0,180
RTB,111,0,250
RTD,110,0,180
RTN,105,0,182
RTST,115,0,259
RTZ,114,0,259
RV,97,0,393
RVS,39,0,257
SBK,140,0,488
SD,60,0,294
SDA,213,0,424
SDM,114,0,250
SDT,99,0,348
SDTB,102,0,349
SGL,164,0,474
SGN,152,0,652
SHL,100,0,109
SK,197,0,367
SKND,196,0,367
SM,103,0,407
SN,142,0,489
SOG,162,0,475
SPTN,118,0,594
SPTZ,116,0,594
SRN,126,0,485
SSH,112,0,203
ST,61,0,294
STD,133,0,456
STM,208,0,430
STV,226,0,375
STZ,62,0,284
SWD,197,0,418
SWK,122,0,400
TB,88,0,372
TBG,40,0,294
TBR,93,0,385
TBU,89,0,385
TG,90,0,374
TL,48,0,274
TPSW,50,0,274
TWL,54,0,326
UHM,221,0,434
UHZ,218,0,434
UST,213,0,433
UT,54,0,22
UTG,115,0,598
UTLN,56,0,98
UTLR,57,0,95
UTM,62,0,95
UTO,57,0,95
UTT,59,0,95
UTVR,53,0,98
UTZL,56,0,95
VB,111,0,180
VD,45,0,260
VDL,156,0,475
VDM,213,0,431
VEM,37,0,260
VG,70,0,372
VH,112,0,203
VHP,101,0,397
VK,165,0,475
VL,85,0,373
VLB,55,0,320
VNDC,65,0,56
VNDW,64,0,56
VP,10,0,260
VRY,62,0,321
VS,208,0,746
VSS,207,0,746
VST,109,0,288
VSV,47,0,294
VTN,61,0,100
VZ,94,0,396
WAD,94,0,180
WADN,95,0,180
WADT,93,0,180
WC,32,0,257
WD,70,0,95
WDN,83,0,333
WF,4,0,0
WFM,210,0,433
WH,66,0,336
WK,213,0,370
WL,29,0,277
WM,108,0,563
WP,78,0,292
WR,240,0,442
WS,218,0,433
WSM,202,0,419
WT,126,0,434
WTV,9,0,259
WV,135,0,350
WW,68,0,313
WWW,69,0,313
WZ,89,0,350
YPB,107,0,180
ZA,26,0,271
ZB,205,0,427
ZBM,69,0,317
ZD,102,0,560
ZDK,105,0,563
ZH,198,0,418
ZL,80,0,336
ZLSH,85,0,350
ZLW,124,0,726
ZP,33,0,260
ZTM,102,0,180
ZTMO,101,0,180
ZV,18,0,257
ZVB,132,0,731
ZVT,119,0,577
ZWD,111,0,468
ZZS,105,0,563
